Name,active,url,name,start,end,pos,height,weight,birthdate,college
Luol Deng,1,http://www.basketball-reference.com/players/d/denglu01.html,Luol Deng,2005,2016,F,6-9,220,"April 16, 1985",Duke University
Marcus Williams,1,http://www.basketball-reference.com/players/w/willima04.html,Marcus Williams,2008,2009,F,6-7,205,"November 18, 1986",University of Arizona
Johnny Simmons,0,http://www.basketball-reference.com/players/s/simmojo01.html,Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",New York University
Bruce Hale,0,http://www.basketball-reference.com/players/h/halebr01.html,Bruce Hale,1949,1951,G-F,6-1,170,"August 30, 1918",Santa Clara University
Cedric Hunter,0,http://www.basketball-reference.com/players/h/huntece01.html,Cedric Hunter,1992,1992,G,6-0,180,"January 16, 1965",University of Kansas
Dan Roundfield,0,http://www.basketball-reference.com/players/r/roundda01.html,Dan Roundfield,1976,1987,F-C,6-8,205,"May 26, 1953",Central Michigan University
B.J. Tyler,0,http://www.basketball-reference.com/players/t/tylerbj01.html,B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971",University of Texas at Austin
Aud Brindley,0,http://www.basketball-reference.com/players/b/brindau01.html,Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College
Norris Coleman,0,http://www.basketball-reference.com/players/c/colemno01.html,Norris Coleman,1988,1988,F,6-8,210,"September 27, 1961",Kansas State University
Maurice Carter,0,http://www.basketball-reference.com/players/c/cartema01.html,Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",Louisiana State University
Brian Winters,0,http://www.basketball-reference.com/players/w/wintebr01.html,Brian Winters,1975,1983,G-F,6-4,185,"March 1, 1952",University of South Carolina
Norm Swanson,0,http://www.basketball-reference.com/players/s/swansno01.html,Norm Swanson,1954,1954,F,6-6,210,"October 4, 1930",University of Detroit Mercy
Craig Hodges,0,http://www.basketball-reference.com/players/h/hodgecr01.html,Craig Hodges,1983,1992,G,6-2,190,"June 27, 1960","California State University, Long Beach"
Bob Harris,0,http://www.basketball-reference.com/players/h/harribo01.html,Bob Harris,1950,1954,F-C,6-7,195,"March 16, 1927",Oklahoma State University
Paul Huston,0,http://www.basketball-reference.com/players/h/hustopa01.html,Paul Huston,1948,1948,F,6-3,175,"June 2, 1925",Ohio State University
Lamar Odom,0,http://www.basketball-reference.com/players/o/odomla01.html,Lamar Odom,2000,2013,F,6-10,220,"November 6, 1979",University of Rhode Island
Ben Handlogten,0,http://www.basketball-reference.com/players/h/handlbe01.html,Ben Handlogten,2004,2005,F,6-10,240,"November 16, 1973",Western Michigan University
Anthony Mason,0,http://www.basketball-reference.com/players/m/masonan01.html,Anthony Mason,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State University
Jamal Crawford,1,http://www.basketball-reference.com/players/c/crawfja01.html,Jamal Crawford,2001,2016,G,6-5,195,"March 20, 1980",University of Michigan
Al Lujack,0,http://www.basketball-reference.com/players/l/lujacal01.html,Al Lujack,1947,1947,F,6-3,220,"October 5, 1920",Georgetown University
Tharon Mayes,0,http://www.basketball-reference.com/players/m/mayesth01.html,Tharon Mayes,1992,1992,G,6-3,175,"September 9, 1968",Florida State University
Mike Barrett,0,http://www.basketball-reference.com/players/b/barremi01.html,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology
Harold Kottman,0,http://www.basketball-reference.com/players/k/kottmha01.html,Harold Kottman,1947,1947,C,6-8,220,"August 22, 1922",Culver-Stockton College
Clyde Drexler*,0,http://www.basketball-reference.com/players/d/drexlcl01.html,Clyde Drexler*,1984,1998,G,6-7,210,"June 22, 1962",University of Houston
Samuel Robinson,0,http://www.basketball-reference.com/players/r/robinsa01.html,Samuel Robinson,1971,1972,F,6-7,190,"January 1, 1948","California State University, Long Beach"
Al Eberhard,0,http://www.basketball-reference.com/players/e/eberhal01.html,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",University of Missouri
Kevin McHale*,0,http://www.basketball-reference.com/players/m/mchalke01.html,Kevin McHale*,1981,1993,F-C,6-10,210,"December 19, 1957",University of Minnesota
Kyle Lowry,1,http://www.basketball-reference.com/players/l/lowryky01.html,Kyle Lowry,2007,2016,G,6-0,205,"March 25, 1986",Villanova University
Wilbert Robinson,0,http://www.basketball-reference.com/players/r/robinwi01.html,Wilbert Robinson,1974,1974,G,6-2,175,"December 25, 1949",West Virginia University
Andreas Glyniadakis,0,http://www.basketball-reference.com/players/g/glynian01.html,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
Danny Wagner,0,http://www.basketball-reference.com/players/w/wagneda01.html,Danny Wagner,1950,1950,G,6-0,170,"August 1, 1922",University of Texas at Austin
Cecil Hankins,0,http://www.basketball-reference.com/players/h/hankice01.html,Cecil Hankins,1947,1948,G,6-1,175,"January 6, 1922",Oklahoma State University
Zydrunas Ilgauskas,0,http://www.basketball-reference.com/players/i/ilgauzy01.html,Zydrunas Ilgauskas,1998,2011,C,7-3,238,"June 5, 1975",
Lamont Strothers,0,http://www.basketball-reference.com/players/s/strotla01.html,Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University
Kobe Bryant,1,http://www.basketball-reference.com/players/b/bryanko01.html,Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",
Daniel Ewing,0,http://www.basketball-reference.com/players/e/ewingda01.html,Daniel Ewing,2006,2007,G,6-3,185,"March 26, 1983",Duke University
Bob Gross,0,http://www.basketball-reference.com/players/g/grossbo01.html,Bob Gross,1976,1983,F-G,6-6,200,"August 3, 1953","California State University, Long Beach"
Phil Martin,0,http://www.basketball-reference.com/players/m/martiph01.html,Phil Martin,1955,1955,G,6-3,190,"April 2, 1928",University of Toledo
Jim McElroy,0,http://www.basketball-reference.com/players/m/mcelrji01.html,Jim McElroy,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University
Greg Grant,0,http://www.basketball-reference.com/players/g/grantgr01.html,Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University
Noble Jorgensen,0,http://www.basketball-reference.com/players/j/jorgeno01.html,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",University of Iowa
Mike Harper,0,http://www.basketball-reference.com/players/h/harpemi01.html,Mike Harper,1981,1982,C-F,6-10,195,"December 9, 1957",North Park University
Billy Donovan,0,http://www.basketball-reference.com/players/d/donovbi01.html,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence College
Ronald Thomas,0,http://www.basketball-reference.com/players/t/thomaro01.html,Ronald Thomas,1973,1976,F,6-6,215,"November 19, 1950",University of Louisville
Marshall Hawkins,0,http://www.basketball-reference.com/players/h/hawkima01.html,Marshall Hawkins,1950,1950,F,6-3,205,"August 3, 1924",University of Tennessee
B.J. Armstrong,0,http://www.basketball-reference.com/players/a/armstbj01.html,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa
Mark Blount,0,http://www.basketball-reference.com/players/b/blounma01.html,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh
Wilt Chamberlain*,0,http://www.basketball-reference.com/players/c/chambwi01.html,Wilt Chamberlain*,1960,1973,C,7-1,275,"August 21, 1936",University of Kansas
Connie Dierking,0,http://www.basketball-reference.com/players/d/dierkco01.html,Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",University of Cincinnati
Jerry Baskerville,0,http://www.basketball-reference.com/players/b/baskeje01.html,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University
Grant Gondrezick,0,http://www.basketball-reference.com/players/g/gondrgr01.html,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine University
Ivan Johnson,1,http://www.basketball-reference.com/players/j/johnsiv01.html,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984",University of Oregon
Greg Ostertag,0,http://www.basketball-reference.com/players/o/ostergr01.html,Greg Ostertag,1996,2006,C,7-2,280,"March 6, 1973",University of Kansas
Jorge Garbajosa,0,http://www.basketball-reference.com/players/g/garbajo01.html,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
Barney Cable,0,http://www.basketball-reference.com/players/c/cableba01.html,Barney Cable,1959,1964,F,6-7,175,"July 29, 1935",Bradley University
Bill Gaines,0,http://www.basketball-reference.com/players/g/gainebi01.html,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",East Texas State University
Pete Myers,0,http://www.basketball-reference.com/players/m/myerspe01.html,Pete Myers,1987,1998,G-F,6-6,180,"September 15, 1963",University of Arkansas at Little Rock
Skip Harlicka,0,http://www.basketball-reference.com/players/h/harlisk01.html,Skip Harlicka,1969,1969,G,6-1,185,"October 14, 1946",University of South Carolina
Mike Smrek,0,http://www.basketball-reference.com/players/s/smrekmi01.html,Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius College
Antonio Daniels,0,http://www.basketball-reference.com/players/d/daniean01.html,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University
Johnny Rogers,0,http://www.basketball-reference.com/players/r/rogerjo01.html,Johnny Rogers,1987,1988,F-C,6-10,225,"December 30, 1963","University of California, Irvine"
Jack Eskridge,0,http://www.basketball-reference.com/players/e/eskrija01.html,Jack Eskridge,1949,1949,C-F,6-5,200,"January 21, 1924",University of Kansas
Alton Lister,0,http://www.basketball-reference.com/players/l/listeal01.html,Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State University
Matt Freije,0,http://www.basketball-reference.com/players/f/freijma01.html,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt University
Marcin Gortat,1,http://www.basketball-reference.com/players/g/gortama01.html,Marcin Gortat,2008,2016,C-F,6-11,240,"February 17, 1984",
Ken Bannister,0,http://www.basketball-reference.com/players/b/bannike01.html,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College
Fernando Martin,0,http://www.basketball-reference.com/players/m/martife01.html,Fernando Martin,1987,1987,C,6-9,220,"March 25, 1962",
James Phelan,0,http://www.basketball-reference.com/players/p/phelaja02.html,James Phelan,1954,1954,G,6-1,175,"March 19, 1929",La Salle University
Tom Sewell,0,http://www.basketball-reference.com/players/s/sewelto01.html,Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",Lamar University
Hawkeye Whitney,0,http://www.basketball-reference.com/players/w/whitnha02.html,Hawkeye Whitney,1981,1982,G-F,6-5,235,"June 22, 1957",North Carolina State University
John Morrison,0,http://www.basketball-reference.com/players/m/morrijo01.html,John Morrison,1968,1968,G,6-2,190,"May 2, 1945",Canisius College
Kevin Brooks,0,http://www.basketball-reference.com/players/b/brookke01.html,Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette
Armond Hill,0,http://www.basketball-reference.com/players/h/hillar01.html,Armond Hill,1977,1984,G,6-4,190,"March 31, 1953",Princeton University
Gary Alcorn,0,http://www.basketball-reference.com/players/a/alcorga01.html,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno"
Darrell Walker,0,http://www.basketball-reference.com/players/w/walkeda01.html,Darrell Walker,1984,1993,G,6-4,180,"March 9, 1961",University of Arkansas
Al Tucker,0,http://www.basketball-reference.com/players/t/tuckeal01.html,Al Tucker,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University
Phil Bond,0,http://www.basketball-reference.com/players/b/bondph01.html,Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",University of Louisville
Tony White,0,http://www.basketball-reference.com/players/w/whiteto01.html,Tony White,1988,1988,G,6-2,170,"February 15, 1965",University of Tennessee
Les Jepsen,0,http://www.basketball-reference.com/players/j/jepsele01.html,Les Jepsen,1991,1992,C,7-0,237,"June 24, 1967",University of Iowa
Gaylon Nickerson,0,http://www.basketball-reference.com/players/n/nickega01.html,Gaylon Nickerson,1997,1997,G,6-3,190,"February 5, 1969",Northwestern Oklahoma State University
Ben Scharnus,0,http://www.basketball-reference.com/players/s/scharbe01.html,Ben Scharnus,1947,1949,F,6-2,173,"December 11, 1917",Seton Hall University
Don Barksdale*,0,http://www.basketball-reference.com/players/b/barksdo01.html,Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles"
Nate Thurmond*,0,http://www.basketball-reference.com/players/t/thurmna01.html,Nate Thurmond*,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green State University
Fritz Nagy,0,http://www.basketball-reference.com/players/n/nagyfr01.html,Fritz Nagy,1949,1949,G-F,6-2,185,"January 3, 1924",University of Akron
Charlie Lowery,0,http://www.basketball-reference.com/players/l/lowerch01.html,Charlie Lowery,1972,1972,G,6-3,185,"November 12, 1949",University of Puget Sound
Rich Peek,0,http://www.basketball-reference.com/players/p/peekri01.html,Rich Peek,1968,1968,C,6-11,230,"October 28, 1943",Louisiana Tech University
Geoff Petrie,0,http://www.basketball-reference.com/players/p/petrige01.html,Geoff Petrie,1971,1976,G,6-4,190,"April 17, 1948",Princeton University
T.J. McConnell,1,http://www.basketball-reference.com/players/m/mccontj01.html,T.J. McConnell,2016,2016,G,6-2,200,"March 25, 1992",University of Arizona
Amal McCaskill,0,http://www.basketball-reference.com/players/m/mccasam01.html,Amal McCaskill,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette University
Dan King,0,http://www.basketball-reference.com/players/k/kingda01.html,Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky University
Vander Blue,1,http://www.basketball-reference.com/players/b/blueva01.html,Vander Blue,2014,2015,G,6-4,200,"July 17, 1992",Marquette University
Chuck Person,0,http://www.basketball-reference.com/players/p/persoch01.html,Chuck Person,1987,2000,F,6-8,220,"June 27, 1964",Auburn University
Dwaine Dillard,0,http://www.basketball-reference.com/players/d/dilladu01.html,Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan University
Red Owens,0,http://www.basketball-reference.com/players/o/owensre01.html,Red Owens,1950,1952,G-F,6-3,185,"September 2, 1925",Baylor University
Steve Green,0,http://www.basketball-reference.com/players/g/greenst01.html,Steve Green,1976,1979,F,6-7,220,"October 4, 1953",Indiana University
Pablo Prigioni,1,http://www.basketball-reference.com/players/p/prigipa01.html,Pablo Prigioni,2013,2016,G,6-3,185,"May 17, 1977",
Sonny Dove,0,http://www.basketball-reference.com/players/d/doveso01.html,Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's University
Kenny McIntosh,0,http://www.basketball-reference.com/players/m/mcintke01.html,Kenny McIntosh,1972,1975,F,6-7,225,"January 21, 1949",Eastern Michigan University
Lou Spicer,0,http://www.basketball-reference.com/players/s/spicelo01.html,Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse University
Leon Benbow,0,http://www.basketball-reference.com/players/b/benbole01.html,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University
Elfrid Payton,1,http://www.basketball-reference.com/players/p/paytoel01.html,Elfrid Payton,2015,2016,G,6-4,185,"February 22, 1994",University of Louisiana at Lafayette
Rick Roberson,0,http://www.basketball-reference.com/players/r/roberri01.html,Rick Roberson,1970,1976,C-F,6-9,231,"July 7, 1947",University of Cincinnati
Derrick Alston,0,http://www.basketball-reference.com/players/a/alstode01.html,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University
Ronnie MacGilvray,0,http://www.basketball-reference.com/players/m/macgiro01.html,Ronnie MacGilvray,1955,1955,G,6-2,185,"July 20, 1930",St. John's University
James Worthy*,0,http://www.basketball-reference.com/players/w/worthja01.html,James Worthy*,1983,1994,F,6-9,225,"February 27, 1961",University of North Carolina
Mike D'Antoni,0,http://www.basketball-reference.com/players/d/dantomi01.html,Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall University
Paul Napolitano,0,http://www.basketball-reference.com/players/n/napolpa01.html,Paul Napolitano,1949,1949,F-G,6-2,185,"February 3, 1923",University of San Francisco
Goo Kennedy,0,http://www.basketball-reference.com/players/k/kennego01.html,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949",Texas Christian University
Lennie Rosenbluth,0,http://www.basketball-reference.com/players/r/rosenle01.html,Lennie Rosenbluth,1958,1959,F,6-4,190,"January 22, 1933",University of North Carolina
Rodney Stuckey,1,http://www.basketball-reference.com/players/s/stuckro01.html,Rodney Stuckey,2008,2016,G,6-5,205,"April 21, 1986",Eastern Washington University
Troy Daniels,1,http://www.basketball-reference.com/players/d/danietr01.html,Troy Daniels,2014,2016,G,6-4,205,"July 15, 1991",Virginia Commonwealth University
DaJuan Summers,1,http://www.basketball-reference.com/players/s/summeda01.html,DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown University
Clyde Mayes,0,http://www.basketball-reference.com/players/m/mayescl01.html,Clyde Mayes,1976,1977,F,6-8,225,"March 17, 1953",Furman University
Omri Casspi,1,http://www.basketball-reference.com/players/c/casspom01.html,Omri Casspi,2010,2016,F,6-9,225,"June 22, 1988",
Jerry Stackhouse,0,http://www.basketball-reference.com/players/s/stackje01.html,Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",University of North Carolina
Elias Harris,1,http://www.basketball-reference.com/players/h/harriel01.html,Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga University
Joby Wright,0,http://www.basketball-reference.com/players/w/wrighjo01.html,Joby Wright,1973,1976,F-C,6-8,220,"September 5, 1950",Indiana University
Bud Acton,0,http://www.basketball-reference.com/players/a/actonbu01.html,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College
Marcus Smart,1,http://www.basketball-reference.com/players/s/smartma01.html,Marcus Smart,2015,2016,G,6-4,220,"March 6, 1994",Oklahoma State University
Hot Rod Hundley,0,http://www.basketball-reference.com/players/h/hundlho01.html,Hot Rod Hundley,1958,1963,G,6-4,185,"October 26, 1934",West Virginia University
Doug West,0,http://www.basketball-reference.com/players/w/westdo01.html,Doug West,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University
Doug Smith,0,http://www.basketball-reference.com/players/s/smithdo03.html,Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",University of Missouri
Stan Kimbrough,0,http://www.basketball-reference.com/players/k/kimbrst01.html,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966",Xavier University
Darren Morningstar,0,http://www.basketball-reference.com/players/m/mornida01.html,Darren Morningstar,1994,1994,C,6-10,235,"April 22, 1969",University of Pittsburgh
Greg Foster,0,http://www.basketball-reference.com/players/f/fostegr01.html,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968",University of Texas at El Paso
Greg Deane,0,http://www.basketball-reference.com/players/d/deanegr01.html,Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",University of Utah
John Jenkins,1,http://www.basketball-reference.com/players/j/jenkijo01.html,John Jenkins,2013,2016,G,6-4,215,"March 6, 1991",Vanderbilt University
Harold Pressley,0,http://www.basketball-reference.com/players/p/pressha01.html,Harold Pressley,1987,1990,F-G,6-7,210,"July 14, 1963",Villanova University
Channing Frye,1,http://www.basketball-reference.com/players/f/fryech01.html,Channing Frye,2006,2016,F-C,6-11,255,"May 17, 1983",University of Arizona
Charlie Tyra,0,http://www.basketball-reference.com/players/t/tyrach01.html,Charlie Tyra,1958,1962,C-F,6-8,230,"August 16, 1935",University of Louisville
Brandon Williams,0,http://www.basketball-reference.com/players/w/willibr01.html,Brandon Williams,1998,2003,G,6-6,215,"February 27, 1975",Davidson College
Jonathan Bender,0,http://www.basketball-reference.com/players/b/bendejo01.html,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
Tiago Splitter,1,http://www.basketball-reference.com/players/s/splitti01.html,Tiago Splitter,2011,2016,F-C,6-11,245,"January 1, 1985",
Samaki Walker,0,http://www.basketball-reference.com/players/w/walkesa01.html,Samaki Walker,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville
Peter John Ramos,0,http://www.basketball-reference.com/players/r/ramospe01.html,Peter John Ramos,2005,2005,C,7-3,275,"May 13, 1985",
Jim Krebs,0,http://www.basketball-reference.com/players/k/krebsji01.html,Jim Krebs,1958,1964,C-F,6-8,230,"September 8, 1935",Southern Methodist University
Arvydas Macijauskas,0,http://www.basketball-reference.com/players/m/macijar01.html,Arvydas Macijauskas,2006,2006,G,6-4,214,"January 19, 1980",
Ray Tolbert,0,http://www.basketball-reference.com/players/t/tolbera01.html,Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana University
Ed Dahler,0,http://www.basketball-reference.com/players/d/dahleed01.html,Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne University
Meyers Leonard,1,http://www.basketball-reference.com/players/l/leoname01.html,Meyers Leonard,2013,2016,C,7-1,245,"February 27, 1992",University of Illinois at Urbana-Champaign
Clyde Lee,0,http://www.basketball-reference.com/players/l/leecl01.html,Clyde Lee,1967,1976,F-C,6-10,205,"March 14, 1944",Vanderbilt University
Shane Battier,0,http://www.basketball-reference.com/players/b/battish01.html,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University
Pete Smith,0,http://www.basketball-reference.com/players/s/smithpe01.html,Pete Smith,1973,1973,F,6-6,205,,Valdosta State University
Alton Ford,0,http://www.basketball-reference.com/players/f/fordal02.html,Alton Ford,2002,2004,F,6-9,275,"May 29, 1981",University of Houston
Art Burris,0,http://www.basketball-reference.com/players/b/burriar01.html,Art Burris,1951,1952,F,6-5,220,"April 7, 1924",University of Tennessee
Luke Witte,0,http://www.basketball-reference.com/players/w/wittelu01.html,Luke Witte,1974,1976,C,7-0,235,"October 19, 1950",Ohio State University
Dennis Bell,0,http://www.basketball-reference.com/players/b/bellde01.html,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University
George Blaney,0,http://www.basketball-reference.com/players/b/blanege01.html,George Blaney,1962,1962,G,6-1,175,"November 12, 1939",College of the Holy Cross
Larry Costello,0,http://www.basketball-reference.com/players/c/costela01.html,Larry Costello,1955,1968,G,6-1,186,"July 2, 1931",Niagara University
Ralph Ogden,0,http://www.basketball-reference.com/players/o/ogdenra01.html,Ralph Ogden,1971,1971,F,6-5,205,"January 25, 1948",Santa Clara University
Erick Dampier,0,http://www.basketball-reference.com/players/d/dampier01.html,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University
JamesOn Curry,0,http://www.basketball-reference.com/players/c/curryja01.html,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University
Jamaal Franklin,1,http://www.basketball-reference.com/players/f/frankja01.html,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University
Samuel Dalembert,1,http://www.basketball-reference.com/players/d/dalemsa01.html,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University
Glynn Saulters,0,http://www.basketball-reference.com/players/s/saultgl01.html,Glynn Saulters,1969,1969,G,6-2,175,"February 10, 1945",University of Louisiana at Monroe
Mario Kasun,0,http://www.basketball-reference.com/players/k/kasunma01.html,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
Adrian Griffin,0,http://www.basketball-reference.com/players/g/griffad01.html,Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall University
Evan Turner,1,http://www.basketball-reference.com/players/t/turneev01.html,Evan Turner,2011,2016,G,6-7,220,"October 27, 1988",Ohio State University
Trevor Ariza,1,http://www.basketball-reference.com/players/a/arizatr01.html,Trevor Ariza,2005,2016,F,6-8,215,"June 30, 1985","University of California, Los Angeles"
Carlos Terry,0,http://www.basketball-reference.com/players/t/terryca01.html,Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State University
Linton Johnson,0,http://www.basketball-reference.com/players/j/johnsli01.html,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane University
Orlando Graham,0,http://www.basketball-reference.com/players/g/grahaor01.html,Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965",Auburn University at Montgomery
Ralph Polson,0,http://www.basketball-reference.com/players/p/polsora01.html,Ralph Polson,1953,1953,F-C,6-7,200,"October 26, 1929",Whitworth
Bob Evans,0,http://www.basketball-reference.com/players/e/evansbo01.html,Bob Evans,1950,1950,G,6-2,175,"May 31, 1925",Butler University
Joe Strawder,0,http://www.basketball-reference.com/players/s/strawjo01.html,Joe Strawder,1966,1968,C,6-10,235,"September 21, 1940",Bradley University
Larry Stewart,0,http://www.basketball-reference.com/players/s/stewala01.html,Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University
Bob Elliott,0,http://www.basketball-reference.com/players/e/elliobo01.html,Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",University of Arizona
Greg Anthony,0,http://www.basketball-reference.com/players/a/anthogr01.html,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas"
Derrick Brown,0,http://www.basketball-reference.com/players/b/brownde04.html,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University
Brian Roberts,1,http://www.basketball-reference.com/players/r/roberbr01.html,Brian Roberts,2013,2016,G,6-1,173,"December 3, 1985",University of Dayton
Swen Nater,0,http://www.basketball-reference.com/players/n/natersw01.html,Swen Nater,1974,1984,C,6-11,240,"January 14, 1950","University of California, Los Angeles"
Zach LaVine,1,http://www.basketball-reference.com/players/l/lavinza01.html,Zach LaVine,2015,2016,G,6-5,189,"March 10, 1995","University of California, Los Angeles"
Jay Vincent,0,http://www.basketball-reference.com/players/v/vinceja01.html,Jay Vincent,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University
Eddie Robinson,0,http://www.basketball-reference.com/players/r/robined01.html,Eddie Robinson,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma
Bob McAdoo*,0,http://www.basketball-reference.com/players/m/mcadobo01.html,Bob McAdoo*,1973,1986,C-F,6-9,210,"September 25, 1951",University of North Carolina
Jim Neal,0,http://www.basketball-reference.com/players/n/nealji01.html,Jim Neal,1954,1955,C,6-11,235,"May 21, 1930",Wofford College
Darren Daye,0,http://www.basketball-reference.com/players/d/dayeda01.html,Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960","University of California, Los Angeles"
Bill Keller,0,http://www.basketball-reference.com/players/k/kellebi01.html,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue University
Art Hillhouse,0,http://www.basketball-reference.com/players/h/hillhar01.html,Art Hillhouse,1947,1948,C,6-7,220,"June 12, 1916",Long Island University
Nenad Krstic,0,http://www.basketball-reference.com/players/k/krstine01.html,Nenad Krstic,2005,2011,C,7-0,240,"July 25, 1983",
Michael Smith,0,http://www.basketball-reference.com/players/s/smithmi02.html,Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence College
A.J. Bramlett,0,http://www.basketball-reference.com/players/b/bramlaj01.html,A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona
Murray Wier,0,http://www.basketball-reference.com/players/w/wiermu01.html,Murray Wier,1950,1950,G,5-9,155,"December 12, 1926",University of Iowa
Matt Othick,0,http://www.basketball-reference.com/players/o/othicma01.html,Matt Othick,1993,1993,G,6-2,165,"March 16, 1969",University of Arizona
Will Cherry,1,http://www.basketball-reference.com/players/c/cherrwi01.html,Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",University of Montana
Dwight Buycks,1,http://www.basketball-reference.com/players/b/buyckdw01.html,Dwight Buycks,2014,2015,G,6-3,190,"March 6, 1989",Marquette University
Martin Nessley,0,http://www.basketball-reference.com/players/n/nesslma01.html,Martin Nessley,1988,1988,C,7-2,260,"February 16, 1965",Duke University
Nick Van Exel,0,http://www.basketball-reference.com/players/v/vanexni01.html,Nick Van Exel,1994,2006,G,6-1,170,"November 27, 1971",University of Cincinnati
